,brandid,umlid
105,2.0,po1000004546
106,2.0,po1000008184
107,2.0,po1000008132
108,2.0,po1000008202
109,2.0,po1000004270
110,2.0,po1000004488
111,2.0,po1000004085
112,2.0,po1000004081
113,2.0,po1000004284
114,2.0,po1000002037
115,2.0,po1000000354
116,2.0,po1000004162
117,2.0,po1000004511
118,2.0,po1000004495
119,2.0,po1000004321
120,2.0,po1000007443
121,2.0,po1000007648
122,2.0,po1000004234
123,2.0,po1000006156
124,2.0,po1000004102
125,2.0,po1000004865
126,2.0,po1000004285
127,2.0,po1000009019
128,2.0,po1000005145
129,2.0,po1000004565
130,2.0,po1000001960
131,2.0,po1000008138
132,2.0,po1000004064
133,2.0,po1000001631
134,2.0,po1000002198
135,2.0,po1000001154
136,2.0,po1000001155
137,2.0,po1000001156
138,2.0,po1000004656
139,2.0,po1000002863
140,2.0,po1000001638
141,2.0,po1000001345
142,2.0,po1000001344
143,2.0,po1000004655
144,2.0,po1000003782
145,2.0,po1000001150
146,2.0,po1000004177
147,2.0,po1000003333
148,2.0,po1000002677
149,2.0,po1000002676
150,2.0,po1000004850
151,2.0,po1000008343
152,2.0,po1000004291
153,2.0,po1000004309
154,2.0,po1000004456
155,2.0,po1000005202
156,2.0,po1000007541
157,2.0,po1000006328
158,2.0,po1000008224
159,2.0,po1000004427
160,2.0,po1000006293
161,2.0,po1000004435
162,2.0,po1000004555
163,2.0,po1000004203
164,2.0,po1000006208
165,2.0,po1000004496
166,2.0,po1000004443
167,2.0,po1000004241
168,2.0,po1000008207
169,2.0,po1000004375
170,2.0,po1000004464
171,2.0,po1000004100
172,2.0,po1000004378
173,2.0,po1000004426
174,2.0,po1000006184
175,2.0,po1000004200
176,2.0,po1000008178
177,2.0,po1000008137
178,2.0,po1000008171
179,2.0,po1000006346
180,2.0,po1000007548
181,2.0,po1000002608
182,2.0,po1000002144
183,2.0,po1000002142
184,2.0,po1000002063
185,2.0,po1000007653
186,2.0,po1000004557
187,2.0,po1000004553
188,2.0,po1000006176
189,2.0,po1000004395
190,2.0,po1000007463
191,2.0,po1000008268
192,2.0,po1000004139
193,2.0,po1000004329
194,2.0,po1000008435
195,2.0,po1000007528
196,2.0,po1000004487
197,2.0,po1000004442
198,2.0,po1000007569
199,2.0,po1000009014
200,2.0,po1000006247
201,2.0,po1000008231
202,2.0,po1000004055
203,2.0,po1000004492
204,2.0,po1000000411
205,2.0,po1000001417
206,2.0,po1000000638
207,2.0,po1000004533
208,2.0,po1000005793
209,2.0,po1000007603
210,2.0,po1000004489
211,2.0,po1000004205
212,2.0,po1000004149
213,2.0,po1000004491
214,2.0,po1000004471
215,2.0,po1000004544
216,2.0,po1000004106
217,2.0,po1000008194
218,2.0,po1000007561
219,2.0,po1000004090
220,2.0,po1000006202
221,2.0,po1000004361
222,2.0,po1000008152
223,2.0,po1000007642
224,2.0,po1000004289
225,2.0,po1000004868
226,2.0,po1000004126
227,2.0,po1000004412
228,2.0,po1000004421
229,2.0,po1000004441
230,2.0,po1000004461
231,2.0,po1000004334
232,2.0,po1000006225
233,2.0,po1000007474
234,2.0,po1000004466
235,2.0,po1000004056
236,2.0,po1000007634
237,2.0,po1000004541
238,2.0,po1000004924
239,2.0,po1000005210
240,2.0,po1000007449
241,2.0,po1000006310
242,2.0,po1000007550
243,2.0,po1000004161
244,2.0,po1000004852
245,2.0,po1000004535
246,2.0,po1000004323
247,2.0,po1000004562
248,2.0,po1000007464
249,2.0,po1000001488
250,2.0,po1000000283
251,2.0,po1000006652
252,2.0,po1000007473
253,2.0,po1000004129
254,2.0,po1000004418
255,2.0,po1000004172
256,2.0,po1000008398
257,2.0,po1000004448
258,2.0,po1000004267
259,2.0,po1000008291
260,2.0,po1000004207
261,2.0,po1000007662
262,2.0,po1000004197
263,2.0,po1000004449
264,2.0,po1000005106
265,2.0,po1000004195
266,2.0,po1000004286
267,2.0,po1000004168
268,2.0,po1000004142
269,2.0,po1000004424
270,2.0,po1000008345
271,2.0,po1000004498
272,2.0,po1000004538
273,2.0,po1000008215
274,2.0,po1000004380
275,2.0,po1000004314
276,2.0,po1000004452
277,2.0,po1000004400
278,2.0,po1000004567
279,2.0,po1000004311
280,2.0,po1000004944
281,2.0,po1000004545
282,2.0,po1000004540
283,2.0,po1000004342
284,2.0,po1000000879
285,2.0,po1000001565
286,2.0,po1000004134
287,2.0,po1000004202
288,2.0,po1000002335
289,2.0,po1000004277
290,2.0,po1000004181
291,2.0,po1000004281
292,2.0,po1000004208
293,2.0,po1000003210
294,2.0,po1000002520
295,2.0,po1000004497
296,2.0,po1000004280
297,2.0,po1000004428
298,2.0,po1000004402
299,2.0,po1000005442
300,2.0,po1000004066
301,2.0,po1000004349
302,2.0,po1000005212
303,2.0,po1000008618
304,2.0,po1000004294
305,2.0,po1000004465
306,2.0,po1000004236
307,2.0,po1000004135
308,2.0,po1000008165
309,2.0,po1000008287
310,2.0,po1000004213
311,2.0,po1000004164
312,2.0,po1000004373
313,2.0,po1000004325
314,2.0,po1000007572
315,2.0,po1000004254
316,2.0,po1000004189
317,2.0,po1000007589
318,2.0,po1000004155
319,2.0,po1000004568
320,2.0,po1000005205
321,2.0,po1000004112
322,2.0,po1000007625
323,2.0,po1000008140
324,2.0,po1000004548
325,2.0,po1000005580
326,2.0,po1000004518
327,2.0,po1000006345
328,2.0,po1000004188
329,2.0,po1000004417
330,2.0,po1000008128
331,2.0,po1000004067
332,2.0,po1000004560
333,2.0,po1000004438
334,2.0,po1000004173
335,2.0,po1000004312
336,2.0,po1000008421
337,2.0,po1000004425
338,2.0,po1000004327
339,2.0,po1000004859
340,2.0,po1000004534
341,2.0,po1000004339
342,2.0,po1000004398
343,2.0,po1000004411
344,2.0,po1000008416
345,2.0,po1000000706
346,2.0,po1000000315
347,2.0,po1000000316
348,2.0,po1000001381
349,2.0,po1000004377
350,2.0,po1000000330
351,2.0,po1000000331
352,2.0,po1000004860
353,2.0,po1000004432
354,2.0,po1000004059
355,2.0,po1000004136
356,2.0,po1000008164
357,2.0,po1000004539
358,2.0,po1000004296
359,2.0,po1000004271
360,2.0,po1000004940
361,2.0,po1000004462
362,2.0,po1000004068
363,2.0,po1000001611
364,2.0,po1000001612
365,2.0,po1000001372
366,2.0,po1000000095
367,2.0,po1000000099
368,2.0,po1000001670
369,2.0,po1000001250
370,2.0,po1000001252
371,2.0,po1000000352
372,2.0,po1000000451
373,2.0,po1000001256
374,2.0,po1000007442
375,2.0,po1000004536
376,2.0,po1000004559
377,2.0,po1000004240
378,2.0,po1000004483
379,2.0,po1000004468
380,2.0,po1000004137
381,2.0,po1000008292
382,2.0,po1000005208
383,2.0,po1000005219
384,2.0,po1000004299
385,2.0,po1000006212
386,2.0,po1000006294
387,2.0,po1000006295
388,2.0,po1000004060
389,2.0,po1000006301
390,2.0,po1000004084
391,2.0,po1000004360
392,2.0,po1000004370
393,2.0,po1000004117
394,2.0,po1000004273
395,2.0,po1000004862
396,2.0,po1000004446
397,2.0,po1000004390
398,2.0,po1000008193
399,2.0,po1000004121
400,2.0,po1000004340
401,2.0,po1000003976
402,2.0,po1000004104
403,2.0,po1000004175
404,2.0,po1000004444
405,2.0,po1000008424
406,2.0,po1000008346
407,2.0,po1000005222
408,2.0,po1000001618
409,2.0,po1000004525
410,2.0,po1000007609
411,2.0,po1000004336
412,2.0,po1000004111
413,2.0,po1000008258
414,2.0,po1000004141
415,2.0,po1000004469
416,2.0,po1000004526
417,2.0,po1000004171
418,2.0,po1000004238
419,2.0,po1000006365
420,2.0,po1000007529
421,2.0,po1000004383
422,2.0,po1000008440
423,2.0,po1000008270
424,2.0,po1000006266
425,2.0,po1000007621
426,2.0,po1000000058
427,2.0,po1000001343
428,2.0,po1000002651
429,2.0,po1000002491
430,2.0,po1000002147
431,2.0,po1000000054
432,2.0,po1000006505
433,2.0,po1000002226
434,2.0,po1000002219
435,2.0,po1000002367
436,2.0,po1000000829
437,2.0,po1000000325
438,2.0,po1000000319
439,2.0,po1000000321
440,2.0,po1000000324
441,2.0,po1000000314
442,2.0,po1000000322
443,2.0,po1000000318
444,2.0,po1000001062
445,2.0,po1000001061
446,2.0,po1000001057
447,2.0,po1000001058
448,2.0,po1000001279
449,2.0,po1000001775
450,2.0,po1000001774
451,2.0,po1000001251
452,2.0,po1000004576
453,2.0,po1000004265
454,2.0,po1000004274
455,2.0,po1000004303
456,2.0,po1000004204
457,2.0,po1000008583
458,2.0,po1000002609
459,2.0,po1000003004
460,2.0,po1000002146
461,2.0,po1000006182
462,2.0,po1000007566
463,2.0,po1000005803
464,2.0,po1000004922
465,2.0,po1000004297
466,2.0,po1000004288
467,2.0,po1000002356
468,2.0,po1000004573
469,2.0,po1000007585
470,2.0,po1000001566
471,2.0,po1000006264
472,2.0,po1000003112
473,2.0,po1000001564
474,2.0,po1000004302
475,2.0,po1000004550
476,2.0,po1000004387
477,2.0,po1000004332
478,2.0,po1000000329
479,2.0,po1000001777
480,2.0,po1000008584
481,2.0,po1000004305
482,2.0,po1000008234
483,2.0,po1000005281
484,2.0,po1000000560
485,2.0,po1000004404
486,2.0,po1000004479
487,2.0,po1000004384
488,2.0,po1000000317
489,2.0,po1000008279
490,2.0,po1000004403
491,2.0,po1000004138
492,2.0,po1000004128
493,2.0,po1000008274
494,2.0,po1000004231
495,2.0,po1000000326
496,2.0,po1000006152
497,2.0,po1000004507
498,2.0,po1000004556
499,2.0,po1000000601
500,2.0,po1000000561
501,2.0,po1000010251
502,2.0,po1000007432
503,2.0,po1000004335
504,2.0,po1000004150
505,2.0,po1000006323
506,2.0,po1000003150
507,2.0,po1000000144
508,2.0,po1000003486
509,2.0,po1000004093
510,2.0,po1000004509
511,2.0,po1000004096
512,2.0,po1000008609
513,2.0,po1000008566
514,2.0,po1000006198
515,2.0,po1000004453
516,2.0,po1000000939
517,2.0,po1000002088
518,2.0,po1000004243
519,2.0,po1000008161
520,2.0,po1000002132
521,2.0,po1000004493
522,2.0,po1000010257
523,2.0,po1000008407
524,2.0,po1000008290
525,2.0,po1000009020
526,2.0,po1000010042
527,2.0,po1000001064
528,2.0,po1000001056
529,2.0,po1000007481
530,2.0,po1000004266
531,2.0,po1000004190
532,2.0,po1000004260
533,2.0,po1000007546
534,2.0,po1000006222
535,2.0,po1000004219
536,2.0,po1000004345
537,2.0,po1000006153
538,2.0,po1000008273
539,2.0,po1000007540
540,2.0,po1000004439
541,2.0,po1000008155
542,2.0,po1000008397
543,2.0,po1000007590
544,2.0,po1000007594
545,2.0,po1000008206
546,2.0,po1000004225
547,2.0,po1000007604
548,2.0,po1000007605
549,2.0,po1000006147
550,2.0,po1000006159
551,2.0,po1000005128
552,2.0,po1000008074
553,2.0,po1000008529
554,2.0,po1000006173
555,2.0,po1000004263
556,2.0,po1000004249
557,2.0,po1000004206
558,2.0,po1000008154
559,2.0,po1000002145
560,2.0,po1000008580
561,2.0,po1000008606
562,2.0,po1000008386
563,2.0,po1000008599
564,2.0,po1000008581
565,2.0,po1000007457
566,2.0,po1000008389
567,2.0,po1000007468
568,2.0,po1000004315
569,2.0,po1000007641
570,2.0,po1000001151
571,2.0,po1000006344
572,2.0,po1000007652
573,2.0,po1000006340
574,2.0,po1000004419
575,2.0,po1000007532
576,2.0,po1000000382
577,2.0,po1000008176
578,2.0,po1000001043
579,2.0,po1000008411
580,2.0,po1000006144
581,2.0,po1000002913
582,2.0,po1000009558
583,2.0,po1000008199
584,2.0,po1000008200
585,2.0,po1000004210
586,2.0,po1000004160
587,2.0,po1000009358
588,2.0,po1000008604
589,2.0,po1000008423
590,2.0,po1000007496
591,2.0,po1000002227
592,2.0,po1000008272
593,2.0,po1000004245
594,2.0,po1000008641
595,2.0,po1000008228
596,2.0,po1000008601
597,2.0,po1000007508
598,2.0,po1000010078
599,2.0,po1000008434
600,2.0,po1000008131
601,2.0,po1000004165
602,2.0,po1000008166
603,2.0,po1000007616
604,2.0,po1000008611
605,2.0,po1000007511
606,2.0,po1000004348
607,2.0,po1000004510
608,2.0,po1000001920
609,2.0,po1000008393
610,2.0,po1000008615
611,2.0,po1000004075
612,2.0,po1000007553
613,2.0,po1000007658
614,2.0,po1000000146
615,2.0,po1000006244
616,2.0,po1000007567
617,2.0,po1000008239
618,2.0,po1000004109
619,2.0,po1000007571
620,2.0,po1000008127
621,2.0,po1000004246
622,2.0,po1000001208
623,2.0,po1000006259
624,2.0,po1000007453
625,2.0,po1000004110
626,2.0,po1000000279
627,2.0,po1000008221
628,2.0,po1000008095
629,2.0,po1000004861
630,2.0,po1000007660
631,2.0,po1000008170
632,2.0,po1000004192
633,2.0,po1000008400
634,2.0,po1000004255
635,2.0,po1000007984
636,2.0,po1000008605
637,2.0,po1000008197
638,2.0,po1000008210
639,2.0,po1000008233
640,2.0,po1000001418
641,2.0,po1000004932
642,2.0,po1000007672
643,2.0,po1000001207
644,2.0,po1000004113
645,2.0,po1000007630
646,2.0,po1000008135
647,2.0,po1000008282
648,2.0,po1000008608
649,2.0,po1000004251
650,2.0,po1000007629
651,2.0,po1000010077
652,2.0,po1000010011
653,2.0,po1000008395
654,2.0,po1000004368
655,2.0,po1000008225
656,2.0,po1000007626
657,2.0,po1000000600
658,2.0,po1000001722
659,2.0,po1000004516
660,2.0,po1000008190
661,2.0,po1000004558
662,2.0,po1000004306
663,2.0,po1000008278
664,2.0,po1000007587
665,2.0,po1000007610
666,2.0,po1000008146
667,2.0,po1000006186
668,2.0,po1000007437
669,2.0,po1000007441
670,2.0,po1000004158
671,2.0,po1000007618
672,2.0,po1000010258
673,2.0,po1000004867
674,2.0,po1000008182
675,2.0,po1000008208
676,2.0,po1000007448
677,2.0,po1000008264
678,2.0,po1000007599
679,2.0,po1000006161
680,2.0,po1000007469
681,2.0,po1000004935
682,2.0,po1000004216
683,2.0,po1000004436
684,2.0,po1000004130
685,2.0,po1000008269
686,2.0,po1000006181
687,2.0,po1000002143
688,2.0,po1000009068
689,2.0,po1000004295
690,2.0,po1000008230
691,2.0,po1000008587
692,2.0,po1000008439
693,2.0,po1000004331
694,2.0,po1000008569
695,2.0,po1000007519
696,2.0,po1000007523
697,2.0,po1000000345
698,2.0,po1000004394
699,2.0,po1000008596
700,2.0,po1000004317
701,2.0,po1000006376
702,2.0,po1000004198
703,2.0,po1000008156
704,2.0,po1000001278
705,2.0,po1000008133
706,2.0,po1000008151
707,2.0,po1000000092
708,2.0,po1000001380
709,2.0,po1000002320
710,2.0,po1000008636
711,2.0,po1000006251
712,2.0,po1000008613
713,2.0,po1000006249
714,2.0,po1000008271
715,2.0,po1000008153
716,2.0,po1000008570
717,2.0,po1000004350
718,2.0,po1000006236
719,2.0,po1000001740
720,2.0,po1000008227
721,2.0,po1000009021
722,2.0,po1000010007
723,2.0,po1000008185
724,2.0,po1000002637
725,2.0,po1000004107
726,2.0,po1000008422
727,2.0,po1000006230
728,2.0,po1000006348
729,2.0,po1000004431
730,2.0,po1000004447
731,2.0,po1000001152
732,2.0,po1000004070
733,2.0,po1000000143
734,2.0,po1000009016
735,2.0,po1000007673
736,2.0,po1000007602
737,2.0,po1000008656
738,2.0,po1000004230
739,2.0,po1000002653
740,2.0,po1000006977
741,2.0,po1000004132
742,2.0,po1000008148
743,2.0,po1000004169
744,2.0,po1000006240
745,2.0,po1000008168
746,2.0,po1000004363
747,2.0,po1000005218
748,2.0,po1000004472
749,2.0,po1000008174
750,2.0,po1000006205
751,2.0,po1000000553
752,2.0,po1000004863
753,2.0,po1000007559
754,2.0,po1000004855
755,2.0,po1000004527
756,2.0,po1000004103
757,2.0,po1000008567
758,2.0,po1000009557
759,2.0,po1000006226
760,2.0,po1000004330
761,2.0,po1000000953
762,2.0,po1000004223
763,2.0,po1000000562
764,2.0,po1000004127
765,2.0,po1000004490
766,2.0,po1000008143
767,2.0,po1000004938
768,2.0,po1000006232
769,2.0,po1000004843
770,2.0,po1000007640
771,2.0,po1000001992
772,2.0,po1000008246
773,2.0,po1000004320
774,2.0,po1000000184
775,2.0,po1000007516
776,2.0,po1000004579
777,2.0,po1000004105
778,2.0,po1000004185
779,2.0,po1000007486
780,2.0,po1000004382
781,2.0,po1000000531
782,2.0,po1000007535
783,2.0,po1000004116
784,2.0,po1000004379
785,2.0,po1000004856
786,2.0,po1000004376
787,2.0,po1000006366
788,2.0,po1000004364
789,2.0,po1000006309
790,2.0,po1000007477
791,2.0,po1000008160
792,2.0,po1000002158
793,2.0,po1000004410
794,2.0,po1000004504
795,2.0,po1000004362
796,2.0,po1000004374
797,2.0,po1000004367
798,2.0,po1000007547
799,2.0,po1000004337
800,2.0,po1000004869
801,2.0,po1000004353
802,2.0,po1000007586
803,2.0,po1000008391
804,2.0,po1000007485
805,2.0,po1000006258
806,2.0,po1000007613
807,2.0,po1000008159
808,2.0,po1000007622
809,2.0,po1000004570
810,2.0,po1000004356
811,2.0,po1000004864
812,2.0,po1000007533
813,2.0,po1000008147
814,2.0,po1000004499
815,2.0,po1000002103
816,2.0,po1000004458
817,2.0,po1000010249
818,2.0,po1000004451
819,2.0,po1000006145
820,2.0,po1000008145
821,2.0,po1000010051
822,2.0,po1000004858
823,2.0,po1000010016
824,2.0,po1000008285
825,2.0,po1000010281
826,2.0,po1000010020
827,2.0,po1000009356
828,2.0,po1000010805
829,2.0,po1000010015
830,2.0,po1000009559
831,2.0,po1000002304
832,2.0,po1000002895
833,2.0,po1000003258
834,2.0,po1000004530
835,2.0,po1000004061
836,2.0,po1000004098
837,2.0,po1000004450
838,2.0,po1000004947
839,2.0,po1000005221
840,2.0,po1000006239
841,2.0,po1000006237
842,2.0,po1000007568
843,2.0,po1000008186
844,2.0,po1000005100
845,2.0,po1000007580
846,2.0,po1000010030
847,2.0,po1000006188
848,2.0,po1000010010
849,2.0,po1000010252
850,2.0,po1000008563
851,2.0,po1000006257
852,2.0,po1000008577
853,2.0,po1000008405
854,2.0,po1000003112
855,2.0,po1000004157
856,2.0,po1000007568
857,2.0,po1000004072
858,2.0,po1000000092
859,2.0,po1000001637
860,2.0,po1000004185
861,2.0,po1000008140
862,2.0,po1000005202
863,2.0,po1000004842
864,2.0,po1000007627
865,2.0,po1000004477
866,2.0,po1000004296
867,2.0,po1000004215
868,2.0,po1000008162
869,2.0,po1000005206
870,2.0,po1000004153
871,2.0,po1000004129
872,2.0,po1000007549
873,2.0,po1000000184
874,2.0,po1000004495
875,2.0,po1000000170
876,2.0,po1000004510
877,2.0,po1000004179
878,2.0,po1000011312
879,2.0,po1000004156
880,2.0,po1000004571
881,2.0,po1000010059
882,2.0,po1000004423
883,2.0,po1000004408
884,2.0,po1000004094
885,2.0,po1000004505
886,2.0,po1000000355
887,2.0,po1000004372
888,2.0,po1000008429
889,2.0,po1000004573
890,2.0,po1000004482
891,2.0,po1000002335
892,2.0,po1000008211
893,2.0,po1000005204
894,2.0,po1000004313
895,2.0,po1000001784
896,2.0,po1000000279
897,2.0,po1000007638
898,2.0,po1000007566
899,2.0,po1000004135
900,2.0,po1000007586
901,2.0,po1000004945
902,2.0,po1000004582
903,2.0,po1000010259
904,2.0,po1000004154
905,2.0,po1000004465
906,2.0,po1000004452
907,2.0,po1000004470
908,2.0,po1000007637
909,2.0,po1000001372
910,2.0,po1000004866
911,2.0,po1000008176
912,2.0,po1000003976
913,2.0,po1000008215
914,2.0,po1000000286
915,2.0,po1000004171
916,2.0,po1000007600
917,2.0,po1000008435
918,2.0,po1000004159
919,2.0,po1000004531
920,2.0,po1000006365
921,2.0,po1000001208
922,2.0,po1000006173
923,2.0,po1000004092
924,2.0,po1000002130
925,2.0,po1000004321
926,2.0,po1000004541
927,2.0,po1000008132
928,2.0,po1000008199
929,2.0,po1000003004
930,2.0,po1000001564
931,2.0,po1000009211
932,2.0,po1000010256
933,2.0,po1000008423
934,2.0,po1000000939
935,2.0,po1000004162
936,2.0,po1000004242
937,2.0,po1000007473
938,2.0,po1000004434
939,2.0,po1000010074
940,2.0,po1000007648
941,2.0,po1000007453
942,2.0,po1000005205
943,2.0,po1000008207
944,2.0,po1000004309
945,2.0,po1000004523
946,2.0,po1000004565
947,2.0,po1000008234
948,2.0,po1000004548
949,2.0,po1000004437
950,2.0,po1000001383
951,2.0,po1000001631
952,2.0,po1000000106
953,2.0,po1000004192
954,2.0,po1000004090
955,2.0,po1000008599
956,2.0,po1000003927
957,2.0,po1000003783
958,2.0,po1000001765
959,2.0,po1000004483
960,2.0,po1000004075
961,2.0,po1000007509
962,2.0,po1000011193
963,2.0,po1000008343
964,2.0,po1000008619
965,2.0,po1000004386
966,2.0,po1000000411
967,2.0,po1000002637
968,2.0,po1000004427
969,2.0,po1000011306
970,2.0,po1000004444
971,2.0,po1000008659
972,2.0,po1000008281
973,2.0,po1000004555
974,2.0,po1000010052
975,2.0,po1000004365
976,2.0,po1000004464
977,2.0,po1000007481
978,2.0,po1000009014
979,2.0,po1000005868
980,2.0,po1000004535
981,2.0,po1000008137
982,2.0,po1000004860
983,2.0,po1000006266
984,2.0,po1000004435
985,2.0,po1000001061
986,2.0,po1000002063
987,2.0,po1000004563
988,2.0,po1000000330
989,2.0,po1000007463
990,2.0,po1000004163
991,2.0,po1000004421
992,2.0,po1000003497
993,2.0,po1000004292
994,2.0,po1000008160
995,2.0,po1000008388
996,2.0,po1000001065
997,2.0,po1000004055
998,2.0,po1000004524
999,2.0,po1000007603
1000,2.0,po1000005793
1001,2.0,po1000004493
1002,2.0,po1000007585
1003,2.0,po1000000567
1004,2.0,po1000004544
1005,2.0,po1000004106
1006,2.0,po1000001079
1007,2.0,po1000007561
1008,2.0,po1000004295
1009,2.0,po1000007534
1010,2.0,po1000008148
1011,2.0,po1000003210
1012,2.0,po1000010076
1013,2.0,po1000004868
1014,2.0,po1000004259
1015,2.0,po1000008290
1016,2.0,po1000004101
1017,2.0,po1000004056
1018,2.0,po1000003150
1019,2.0,po1000002913
1020,2.0,po1000004320
1021,2.0,po1000004176
1022,2.0,po1000007449
1023,2.0,po1000010056
1024,2.0,po1000004852
1025,2.0,po1000000180
1026,2.0,po1000004498
1027,2.0,po1000008603
1028,2.0,po1000006652
1029,2.0,po1000007524
1030,2.0,po1000008226
1031,2.0,po1000004254
1032,2.0,po1000003970
1033,2.0,po1000004207
1034,2.0,po1000008583
1035,2.0,po1000004253
1036,2.0,po1000004508
1037,2.0,po1000010039
1038,2.0,po1000004312
1039,2.0,po1000004385
1040,2.0,po1000004458
1041,2.0,po1000004379
1042,2.0,po1000001062
1043,2.0,po1000004567
1044,2.0,po1000004311
1045,2.0,po1000004336
1046,2.0,po1000010030
1047,2.0,po1000002539
1048,2.0,po1000004497
1049,2.0,po1000005442
1050,2.0,po1000004066
1051,2.0,po1000007594
1052,2.0,po1000004317
1053,2.0,po1000004415
1054,2.0,po1000004373
1055,2.0,po1000004325
1056,2.0,po1000007572
1057,2.0,po1000004857
1058,2.0,po1000004155
1059,2.0,po1000010062
1060,2.0,po1000005580
1061,2.0,po1000004226
1062,2.0,po1000006345
1063,2.0,po1000008616
1064,2.0,po1000008264
1065,2.0,po1000004410
1066,2.0,po1000008128
1067,2.0,po1000008416
1068,2.0,po1000009355
1069,2.0,po1000000316
1070,2.0,po1000000320
1071,2.0,po1000000318
1072,2.0,po1000008661
1073,2.0,po1000001638
1074,2.0,po1000000107
1075,2.0,po1000004093
1076,2.0,po1000004059
1077,2.0,po1000004136
1078,2.0,po1000001278
1079,2.0,po1000007540
1080,2.0,po1000004068
1081,2.0,po1000001611
1082,2.0,po1000008143
1083,2.0,po1000007442
1084,2.0,po1000001342
1085,2.0,po1000007635
1086,2.0,po1000010069
1087,2.0,po1000011300
1088,2.0,po1000005218
1089,2.0,po1000004300
1090,2.0,po1000004064
1091,2.0,po1000006295
1092,2.0,po1000004063
1093,2.0,po1000008411
1094,2.0,po1000008396
1095,2.0,po1000004467
1096,2.0,po1000006293
1097,2.0,po1000004390
1098,2.0,po1000007646
1099,2.0,po1000007634
1100,2.0,po1000004864
1101,2.0,po1000000553
1102,2.0,po1000006161
1103,2.0,po1000004119
1104,2.0,po1000008424
1105,2.0,po1000005222
1106,2.0,po1000001618
1107,2.0,po1000004525
1108,2.0,po1000007462
1109,2.0,po1000004481
1110,2.0,po1000000600
1111,2.0,po1000004843
1112,2.0,po1000000058
1113,2.0,po1000010255
1114,2.0,po1000000325
1115,2.0,po1000004946
1116,2.0,po1000000319
1117,2.0,po1000006226
1118,2.0,po1000000328
1119,2.0,po1000001155
1120,2.0,po1000007626
1121,2.0,po1000004239
1122,2.0,po1000001250
1123,2.0,po1000004583
1124,2.0,po1000004442
1125,2.0,po1000004225
1126,2.0,po1000002356
1127,2.0,po1000000148
1128,2.0,po1000004291
1129,2.0,po1000008584
1130,2.0,po1000008274
1131,2.0,po1000004195
1132,2.0,po1000007630
1133,2.0,po1000004507
1134,2.0,po1000007640
1135,2.0,po1000007432
1136,2.0,po1000010815
1137,2.0,po1000004335
1138,2.0,po1000010031
1139,2.0,po1000004858
1140,2.0,po1000008208
1141,2.0,po1000008397
1142,2.0,po1000004392
1143,2.0,po1000007661
1144,2.0,po1000004169
1145,2.0,po1000000317
1146,2.0,po1000000530
1147,2.0,po1000004110
1148,2.0,po1000010015
1149,2.0,po1000007653
1150,2.0,po1000004337
1151,2.0,po1000008606
