idx	Consumer Company	Country	District	Latitude	Longitude	Mill Company	Mill Name	Parent Company	Province	RSPO	UMLID
10125		malaysia	kuala langat	2.8458650000000003	101.467214	jugra palm oil mill sdn bhd	jugra	jugra palm oil mill sdn bhd	selangor		po1000007526
10126	colgate palmolive	NAN		3.3446050000000005	101.291351		k.k.s kampung kuantan bhd.	NAN			
10126		malaysia	kuala selangor	3.3446059999999997	101.291608	sin huat hin	sin huat hin palm oil mill (kuala selangor) sdn bhd	sin huat hin	selangor		po1000007536
10127	colgate palmolive	NAN		4.4030000000000005	103.24799999999999		k.k.s kemaman	NAN			
10127		malaysia	kemaman	4.4030000000000005	103.24799999999999	tdm plantation sdn bhd	kemaman	tdm berhad	trengganu	rspo certified, ip	po1000001053
10128	colgate palmolive	NAN		3.52695	101.980317		k.k.s mempaga	NAN			
10128		malaysia	bentong	3.527222	101.980278	fgv palm industries sdn bhd	mempaga	fgv holdings berhad	pahang		po1000001898
10129	colgate palmolive	NAN		4.0232410000000005	102.387591		k.k.s padang piol	NAN			
10129		malaysia	jerantut	4.023889	102.38833299999999	fgv palm industries sdn bhd	padang piol	fgv holdings berhad	pahang		po1000000674
10130	colgate palmolive	NAN		4.3235220000000005	100.938307		k.k.s. felcra nasaruddin	NAN			
10130		malaysia	perak tengah	4.3235220000000005	100.938307	felcra processing & engineering sdn bhd	felcra nasaruddin	felcra berhad	perak		po1000003755
10131	colgate palmolive	NAN		-1.69156	102.1601		k.k.s. kechau 7	NAN			
10131		indonesia	bungo	-1.6920279999999999	102.160547	budi nabati perkasa	budi nabati perkasa	sungai budi	jambi		po1000007486
10132	colgate palmolive	NAN		3.729276	102.888766		k.k.s. kema development sdn. bhd.	NAN			
10132		malaysia	kuantan	3.729276	102.888766	kema development sdn bhd	kema development	kema development sdn bhd	pahang		po1000006194
10133	colgate palmolive	NAN		3.294146	102.821558		k.k.s. keratong estate	NAN			
10133		malaysia	rompin	3.294139	102.821528	chin teck plantations berhad	keratong	chin teck plantations berhad	pahang		po1000004786
10134	colgate palmolive	NAN		4.3744	103.3493		k.k.s. panji alam sdn. bhd.	NAN			
10134		malaysia	kemaman	4.374444	103.34916700000001	kilang sawit panji alam sdn bhd	panji alam	ketengah holdings sdn bhd	trengganu		po1000003822
10135	colgate palmolive	NAN		3.5899449999999997	102.559455		k.k.s. seroja	NAN			
10135		malaysia	maran	3.590383	102.55915	fgv palm industries sdn bhd	seroja	fgv holdings berhad	pahang		po1000000603
10136	colgate palmolive	NAN		5.3080940000000005	102.91041700000001		k.k.s. sungai tong	NAN			
10136		malaysia	setiu	5.3080940000000005	102.91041700000001	tdm plantation sdn bhd	sungai tong	tdm berhad	trengganu	rspo certified, mb	po1000001113
10137	colgate palmolive	NAN		4.8365	102.004417		k.s.s. ladang gua musang	NAN			
10137		malaysia	gua musang	4.8365	102.004417	chin teck plantations berhad	gua musang	chin teck plantations berhad	kelantan		po1000006169
10138	colgate palmolive	NAN		4.370035	117.51248700000001		kalabakan	NAN			
10138		malaysia	tawau	4.370035	117.51248700000001	fgv palm industries sdn bhd	kalabakan	fgv holdings berhad	sabah		po1000001703
10139	colgate palmolive	NAN		0.529027778	100.7769722		kalianta 2	NAN			
10139		indonesia	kampar	0.5290279999999999	100.776972	padasa enam utama	kalianta 2	padasa enam utama	riau		po1000004195
10140	colgate palmolive	NAN		0.45805799999999997	100.802086		kalianta dua	NAN			
10140		indonesia	rokan hulu	0.45819899999999997	100.802036	padasa enam utama	kalianta 1	padasa enam utama	riau		po1000004385
10141	colgate palmolive	NAN		0.527836	100.777321		kalianta satu	NAN			
10141		indonesia	kampar	0.5290279999999999	100.776972	padasa enam utama	kalianta 2	padasa enam utama	riau		po1000004195
10142	colgate palmolive	NAN		-5.227508	104.94806200000001		kalirejo lestari	NAN			
10142		indonesia	lampung tengah	-5.228708	104.94821110000001	kalirejo lestari	kalirejo lestari	sinar jaya agro investama (sjai)	lampung		po1000006294
10143	colgate palmolive	NAN		-2.261	104.3126944		karang agung	NAN			
10143		indonesia	musi banyuasin	-2.261	104.312689	banyu kahuripan indonesia	karang agung	makin	sumatera selatan		po1000006225
10144	colgate palmolive	NAN		4.0360000000000005	116.927		karangjuang hijau lestari	NAN			
10144		indonesia	nunukan	4.0360000000000005	116.927	karang juang hijau lestari	karang juang hijau lestari	fangiono agro plantation (fap agri)	kalimantan timur		po1000005208
10145	colgate palmolive	NAN		4.013075	98.149517		karimun aromatics	NAN			
10145		indonesia	langkat	4.013075	98.149517	karimun aromatics	karimun aromatics	unknown	sumatera utara		po1000006182
10146	colgate palmolive	NAN		-2.23985	112.63045		karunia kencana permaisejati	NAN			
10146		indonesia	kotawaringin timur	-2.23985	112.63045	karunia kencana permai sejati	karunia kencana permai sejati	wilmar	kalimantan tengah	rspo certified, ip	po1000004150
10147	colgate palmolive	NAN		-2.283611	110.50333300000001		karya bakti agro sejahtera	NAN			
10147		indonesia	ketapang	-2.283611	110.50333300000001	karya bakti agro sejahtera	sungai rasau	bumitama gunajaya agro (bga)	kalimantan barat		po1000008180
10148	colgate palmolive	NAN		-1.97	112.37100000000001		karya makmur sejahtera	NAN			
10148		indonesia	kotawaringin timur	-1.970503	112.370324	agrokarya prima lestari	kuayan	sinar mas	kalimantan tengah		po1000004655
10149	colgate palmolive	NAN		2.78457	99.61819		karya mitra andalan	NAN			
10149		indonesia	asahan	2.78457	99.61819	karya mitra andalan	karya mitra andalan	mahkota	sumatera utara		po1000004126
10150	colgate palmolive	NAN		3.34228	99.22248		karya serasi jaya abadi	NAN			
10150		indonesia	serdang bedagai	3.34228	99.22248	karya serasi jaya abadi	karya serasi jaya abadi	sumber tani agung (sta)	sumatera utara		po1000004329
10151	colgate palmolive	NAN		4.349781	96.165		karya tanah subur	NAN			
10151		indonesia	aceh barat	4.349722	96.16444399999999	karya tanah subur	karya tanah subur	astra agro lestari	aceh		po1000004571
10152	colgate palmolive	NAN		-0.15434	117.010069		karya tehnik plantation	NAN			
10152		indonesia	kutai kartanegara	-0.15434	117.01007	karya teknik plantation	karya teknik plantation	unknown	kalimantan timur		po1000008435
10153	colgate palmolive	NAN		1.476528	100.599556		karyabadi sama sejati	NAN			
10153		indonesia	rokan hilir	1.475833	100.59880600000001	karya abadi sama sejati	karya abadi sama sejati	unknown	riau		po1000008287
10154	colgate palmolive	NAN		-2.997861111	102.7867222		karyaindo sejatitama	NAN			
10154		indonesia	musi rawas	-2.997939	102.787836	karya indo sejatitama	karya indo sejatitama	unknown	sumatera selatan		po1000004075
10155	colgate palmolive	NAN		0.9918527779999999	116.75369170000002		karyanusa ekadaya, pt	NAN			
10155		indonesia	kutai timur	0.9918530000000001	116.75369199999999	karyanusa ekadaya	karyanusa eka daya 1	astra agro lestari	kalimantan timur		po1000008274
10156	colgate palmolive	NAN		-1.438333	112.87388899999999		katingan central	NAN			
10156		indonesia	katingan	-1.438169	112.874141	karya dewi putra	katingan central	agrosubur	kalimantan tengah		po1000007553
10157	colgate palmolive	NAN		4.292928	102.076614		kechau a	NAN			
10157		malaysia	lipis	4.292928	102.076614	fgv palm industries sdn bhd	kechau a	fgv holdings berhad	pahang		po1000006177
10158	colgate palmolive	NAN		-1.9074	103.013983		kedaton mulia primas	NAN			
10158		indonesia	batang hari	-1.9071669999999998	103.0136	kedaton mulia primas	kedaton mulia primas	unknown	jambi		po1000008345
10159	colgate palmolive	NAN		-2.3398060000000003	110.96871399999999		kedipi	NAN			
10159		indonesia	ketapang	-2.3404	110.9696	maya agro investama	kedipi	cargill	kalimantan barat		po1000004853
10160	colgate palmolive	NAN		2.204546	103.270394		kekayaan pom	NAN			
10160		malaysia	keluang	2.204546	103.270394	kuala lumpur kepong berhad	kekayaan palm oil mill	kuala lumpur kepong (klk)	johor	rspo certified, ip	po1000000201
10161	colgate palmolive	NAN		-1.934847634	110.4941257		kelampai	NAN			
10161		indonesia	ketapang	-1.93485	110.49413	arrtu plantation	kelampai	eagle high plantations	kalimantan barat		po1000007658
10162	colgate palmolive	NAN		3.729276	102.888766		kema	NAN			
10162		malaysia	kuantan	3.729276	102.888766	kema development sdn bhd	kema development	kema development sdn bhd	pahang		po1000006194
10163	colgate palmolive	NAN		4.578833	118.31783		kemabong palm oil mill sdn bhd	NAN			
10163		malaysia	semporna	4.57883	118.31783	kemabong sdn bhd	sapang palm oil mill	kenso timur sdn bhd	sabah		po1000007560
10164	colgate palmolive	NAN		3.148559	102.474846		kemaman palm oil mill	NAN			
10164		malaysia	bera	3.1485830000000004	102.47536099999999	cheekah-kemayan plantations sdn bhd	cheekah-kemayan	prosper group	pahang		po1000003868
10165	colgate palmolive	NAN		5.1316370000000004	119.09265500000001		kembara budi	NAN			
10165		malaysia	lahad datu	5.132065	119.092445	fgv palm industries sdn bhd	embara budi	fgv holdings berhad	sabah		po1000001654
10166	colgate palmolive	NAN		-0.90379	101.39815		kemilau permata sawit	NAN			
10166		indonesia	sijunjung	-0.9037780000000001	101.3981389	kemilau permata sawit	sijunjung	superventure	sumatera barat		po1000006186
10167	colgate palmolive	NAN		2.243522	102.481386		kempas pom	NAN			
10167		malaysia	jasin	2.243522	102.481386	sime darby plantation bhd	kempas (sou 17)	sime darby	melaka	rspo certified, ip	po1000000347
10168	colgate palmolive	NAN		1.783667	100.39241700000001		kencana andalan nusantara	NAN			
10168		indonesia	rokan hilir	1.783667	100.39241700000001	kencana andalan nusantara	kencana andalan nusantara	unknown	riau		po1000004487
10169	colgate palmolive	NAN		2.567444	99.57830600000001		kencana inti perkasa	NAN			
10169		indonesia	labuhanbatu utara	2.567509	99.578451	kencana inti perkasa	aek nopan	unknown	sumatera utara		po1000006247
10170	colgate palmolive	NAN		-3.3635833330000002	101.82688890000001		kencana katara kewala	NAN			
10170		indonesia	bengkulu utara	-3.3635832999999997	101.82688890000001	kencana katara kewala	kencana ketara kewala	unknown	bengkulu		po1000005204
10171	colgate palmolive	NAN		-1.4677799999999999	101.514439		kencana sawit indonesia	NAN			
10171		indonesia	solok selatan	-1.4677799999999999	101.514439	kencana sawit indonesia	kencana sawit indonesia	wilmar	sumatera barat	rspo certified, mb	po1000000561
10172	colgate palmolive	NAN		1.070111	100.117417		kencana utama sejati	NAN			
10172		indonesia	padang lawas	1.068972	100.1172	kencana utama sejati	kencana utama sejati	unknown	sumatera utara		po1000007569
10173	colgate palmolive	NAN		-0.7090555559999999	102.65947220000001		keratong	NAN			
10173		indonesia	indragiri hilir	-0.71	102.66	berkat sawit sejahtera	berkat sawit sejahtera	superventure	riau		po1000007652
10174	colgate palmolive	NAN		3.569405	102.27958100000001		kerdau	NAN			
10174		malaysia	temerloh	3.5694440000000003	102.27833299999999	sime darby plantation bhd	kerdau (sou 11)	sime darby	pahang	rspo certified, mb	po1000000295
10175	colgate palmolive	NAN		3.164113	113.600176		keresa mill sdn bhd	NAN			
10175		malaysia	bintulu	3.164113	113.600176	keresa mill sdn bhd	keresa	keresa plantations sdn bhd	sarawak	rspo certified, mb	po1000000340
10176	colgate palmolive	NAN		-2.7846330000000004	112.509533		kerry sawit indonesia	NAN			
10176		indonesia	seruyan	-2.7846330000000004	112.509533	kerry sawit indonesia	kerry sawit indonesia 1	wilmar	kalimantan tengah	rspo certified, mb	po1000000146
10177	colgate palmolive	NAN		4.99986	102.27476999999999		kesedar perkilangan sdn bhd	NAN			
10177		malaysia	gua musang	4.99986	102.27476999999999	kesedar perkilangan sdn bhd	paloh 3	kesedar	kelantan		po1000003809
10178	colgate palmolive	NAN		-0.875633333	115.89165279999999		ketapang agro lestari	NAN			
10178		indonesia	kutai barat	-0.875633	115.891653	ketapang agro lestari	ketapang agro lestari	first resources	kalimantan timur		po1000008567
10179	colgate palmolive	NAN		4.2428	100.9689		kg. gajah	NAN			
10179		malaysia	perak tengah	4.2428	100.9689	perak agro mills sdn bhd	kampung gajah	perak agro oil farm sdn bhd	perak		po1000003859
10180	colgate palmolive	NAN		0.015313	116.96844399999999		khaleda agroprima malindo	NAN			
10180		indonesia	kutai kartanegara	0.015313	116.96844399999999	maju kalimantan hadapan	seguntung	mkh berhad	kalimantan timur		po1000004334
10181	colgate palmolive	NAN		-0.752306	102.244639		kharisma agro sejahtera	NAN			
10181		indonesia	indragiri hulu	-0.752306	102.244639	kharisma agro sejahtera	kharisma agro sejahtera	unknown	riau		po1000008231
10182	colgate palmolive	NAN		2.966366	103.09288000000001		kilang sawira makmur sdn bhd	NAN			
10182		malaysia	rompin	2.9675830000000003	103.092444	kilang sawira makmur sdn bhd	sawira makmur	far east holdings berhad	pahang		po1000003752
10183	colgate palmolive	NAN		2.27451	103.28325		kilang kekayaan	NAN			
10183		malaysia	keluang	2.274505	103.28325	kuala lumpur kepong berhad	kilang kekayaan	kuala lumpur kepong (klk)	johor		po1000008382
10184	colgate palmolive	NAN		5.1935910000000005	100.62843000000001		kilang kelapa sawit batu lintang	NAN			
10184		malaysia	bandar baharu	5.1935910000000005	100.62843000000001	kuala lumpur kepong berhad	batu lintang	kuala lumpur kepong (klk)	kedah	rspo certified, ip	po1000000894
10185	colgate palmolive	NAN		3.0754	102.76616		kilang kelapa sawit bukit berembun	NAN			
10185		malaysia	rompin	3.0754029999999997	102.76615600000001	southern keratong plantations sdn bhd	bukit berembun	southern keratong plantations sdn bhd	pahang		po1000003895
10186	colgate palmolive	NAN		2.79989	102.75841		kilang kelapa sawit bukit bujang	NAN			
10186		malaysia	segamat	2.7998939999999997	102.758411	pertubuhan peladang negeri johor (ppnj)	ppnj bukit bujang	pertubuhan peladang negeri johor (ppnj)	johor		po1000003861
10187	colgate palmolive	NAN		2.0854	102.6983		kilang kelapa sawit bukit pasir	NAN			
10187		malaysia	muar	2.085126	102.697623	hok huat oil mill sdn bhd	bukit pasir	hok huat group sdn bhd	johor		po1000003812
10188	colgate palmolive	NAN		4.27529	100.785289		kilang kelapa sawit changkat chermin	NAN			
10188		malaysia	manjung	4.27527	100.78498	kuala lumpur kepong berhad	changkat chermin	kuala lumpur kepong (klk)	perak	rspo certified, ip	po1000000896
10189	colgate palmolive	NAN		5.7064	117.5358		kilang kelapa sawit diamond jubilee	NAN			
10189		malaysia	beluran	5.706359	117.535848	ijm edible oils sdn bhd	desa talisai	ijm plantations berhad	sabah		po1000003789
10190	colgate palmolive	NAN		2.859843	101.474397		kilang kelapa sawit eng hong sdn. bhd.	NAN			
10190		malaysia	kuala langat	2.859843	101.474397	eng hong palm oil mill sdn bhd	eng hong	eng hong palm oil mill sdn bhd	selangor		po1000006223
10191	colgate palmolive	NAN		2.075104	103.494118		kilang kelapa sawit felcra bukit kapah	NAN			
10191		malaysia	keluang	2.075104	103.494118	fgv palm industries sdn bhd	kahang	fgv holdings berhad	johor		po1000001314
10192	colgate palmolive	NAN		3.982938	102.222483		kilang kelapa sawit felcra jaya putra	NAN			
10192		malaysia	jerantut	3.982938	102.222483	felcra jayaputra sdn bhd	jayaputra	felcra berhad	pahang		po1000007527
10193	colgate palmolive	NAN		2.075104	103.494118		kilang kelapa sawit felcra maran	NAN			
10193		malaysia	keluang	2.075104	103.494118	fgv palm industries sdn bhd	kahang	fgv holdings berhad	johor		po1000001314
10194	colgate palmolive	NAN		2.075104	103.494118		kilang kelapa sawit felda kechau b	NAN			
10194		malaysia	keluang	2.075104	103.494118	fgv palm industries sdn bhd	kahang	fgv holdings berhad	johor		po1000001314
10195	colgate palmolive	NAN		6.0475	117.21972199999999		kilang kelapa sawit fortuna	NAN			
10195		malaysia	beluran	6.0475	117.21972199999999	kilang kelapa sawit fortuna sdn bhd	fortuna	fortuna group	sabah		po1000003813
10196	colgate palmolive	NAN		2.243544	103.137941		kilang kelapa sawit gunung mas	NAN			
10196		malaysia	segamat	2.243544	103.137941	sime darby plantation bhd	gunung mas (sou 21)	sime darby	johor	rspo certified, ip	po1000000183
10197	colgate palmolive	NAN		3.8620449999999997	102.34548199999999		kilang kelapa sawit jerantut sdn bhd	NAN			
10197		malaysia	jerantut	3.8620449999999997	102.34548199999999	kilang kelapa sawit jerantut sdn bhd	jerantut	kilang kelapa sawit jerantut sdn bhd	pahang		po1000007530
10198	colgate palmolive	NAN		4.4030000000000005	103.24799999999999		kilang kelapa sawit kemaman	NAN			
10198		malaysia	kemaman	4.4030000000000005	103.24799999999999	tdm plantation sdn bhd	kemaman	tdm berhad	trengganu	rspo certified, ip	po1000001053
10199	colgate palmolive	NAN		1.6336110000000001	104.218889		kilang kelapa sawit ladang siang	NAN			
10199		malaysia	kota tinggi	1.6336110000000001	104.218889	siang	kilang kelapa sawit ladang siang	unknown	johor		po1000003814
10200	colgate palmolive	NAN		4.151198	100.781185		kilang kelapa sawit lekir sdn. bhd.	NAN			
10200		malaysia	perak tengah	4.151198	100.781185	kilang kelapa sawit lekir sdn bhd	lekir	johawaki plantation sdn bhd	perak		po1000003815
10201	colgate palmolive	NAN		2.77809	102.962		kilang kelapa sawit lian hup	NAN			
10201		malaysia	rompin	2.77809	102.962	harn len corporation bhd	lian hup	harn len corporation bhd	pahang		po1000006234
10202	colgate palmolive	NAN		4.99986	102.27476999999999		kilang kelapa sawit paloh	NAN			
10202		malaysia	gua musang	4.99986	102.27476999999999	kesedar perkilangan sdn bhd	paloh 3	kesedar	kelantan		po1000003809
10203	colgate palmolive	NAN		4.4910190000000005	118.437699		kilang kelapa sawit pinangah sdn bhd	NAN			
10203		malaysia	semporna	4.4910190000000005	118.437699	kilang kelapa sawit pinangah sdn bhd	pinangah	n.y. hiew (holdings) sdn bhd	sabah	rspo certified, mb	po1000003827
10204	colgate palmolive	NAN		2.1714	103.4796		kilang kelapa sawit ppnj kahang	NAN			
10204		malaysia	keluang	2.1714	103.4796	pertubuhan peladang negeri johor (ppnj)	ppnj kahang	pertubuhan peladang negeri johor (ppnj)	johor		po1000003862
10205	colgate palmolive	NAN		2.900889	102.44487		kilang kelapa sawit prosper sdn bhd	NAN			
10205		malaysia	jempol	2.900353	102.445975	fgv palm industries sdn bhd	serting	fgv holdings berhad	negeri sembilan		po1000001899
10206	colgate palmolive	NAN		4.595091	103.202805		kilang kelapa sawit risda durian mas	NAN			
10206		malaysia	dungun	4.595091	103.202805	risda estates sdn bhd	risda durian mas	risda estates sdn bhd	trengganu		po1000006353
10207	colgate palmolive	NAN		2.194746	103.87798000000001		kilang kelapa sawit risda sungai ambat	NAN			
10207		malaysia	mersing	2.194746	103.87798000000001	risda estates sdn bhd	risda sg ambat	risda estates sdn bhd	johor		po1000003749
10208	colgate palmolive	NAN		-0.7090555559999999	102.65947220000001		kilang kelapa sawit risda ulu keratong	NAN			
10208		indonesia	indragiri hilir	-0.71	102.66	berkat sawit sejahtera	berkat sawit sejahtera	superventure	riau		po1000007652
10209	colgate palmolive	NAN		1.7308580000000002	103.53832299999999		kilang kelapa sawit sedenak	NAN			
10209		malaysia	kulaijaya	1.7308580000000002	103.53832299999999	epa management sdn bhd	sedenak	kulim (malaysia) berhad	johor	rspo certified, mb	po1000000019
10210	colgate palmolive	NAN		5.0995040000000005	102.175826		kilang kelapa sawit serasa	NAN			
10210		malaysia	gua musang	5.0995040000000005	102.175826	ladang serasa sdn bhd	serasa	tradewinds plantation berhad	kelantan		po1000003941
10211	colgate palmolive	NAN		3.8068888889999997	101.02936109999999		kilang kelapa sawit southern perak	NAN			
10211		malaysia	hilir perak	3.806889	101.029361	southern perak plantations sdn bhd	southern perak	southern group	perak		po1000003896
10212	colgate palmolive	NAN		2.075104	103.494118		kilang kelapa sawit sungai jernih	NAN			
10212		malaysia	keluang	2.075104	103.494118	fgv palm industries sdn bhd	kahang	fgv holdings berhad	johor		po1000001314
10213	colgate palmolive	NAN		2.388672	103.801811		kilang kelapa sawit sungai melikai	NAN			
10213		malaysia	mersing	2.388242	103.801396	felcra processing & engineering sdn bhd	felcra sungai melikai	felcra berhad	johor		po1000003757
10214	colgate palmolive	NAN		5.3080940000000005	102.91041700000001		kilang kelapa sawit sungai tong	NAN			
10214		malaysia	setiu	5.3080940000000005	102.91041700000001	tdm plantation sdn bhd	sungai tong	tdm berhad	trengganu	rspo certified, mb	po1000001113
10215	colgate palmolive	NAN		4.6739559999999996	100.70695500000001		kilang kelapa sawit t.r.p. (trong oil mill)	NAN			
10215		malaysia	larut and matang	4.67356	100.70815400000001	boustead plantations berhad	trong oil mill	boustead plantations berhad	perak	rspo certified, ip	po1000006389
10216	colgate palmolive	NAN		1.802372	103.62389399999999		kilang kelapa sawit tanjong malim	NAN			
10216		malaysia	keluang	1.802372	103.62389399999999	palm discovery sdn bhd	palm discovery / kulai mas	dupont & leosk enterprises	johor		po1000003879
10217	colgate palmolive	NAN		1.566934	104.044935		kilang kelapa sawit telok sengat	NAN			
10217		malaysia	kota tinggi	1.566934	104.044935	boustead telok sengat sdn bhd	telok sengat	boustead plantations berhad	johor		po1000003738
10218	colgate palmolive	NAN		3.265342	101.463819		kilang kelapa sawit tuan mee	NAN			
10218		malaysia	kuala selangor	3.265156	101.463279	kuala lumpur kepong berhad	tuan mee	kuala lumpur kepong (klk)	selangor	rspo certified, mb	po1000000895
10219	colgate palmolive	NAN		1.56539	103.46795999999999		kilang kelapa sawit united bell	NAN			
10219		malaysia	pontian	1.565451	103.467984	kilang sawit united bell sdn bhd	united belll	bell group	johor		po1000003823
10220	colgate palmolive	NAN		2.9934	102.8198		kilang kosfarm sdn bhd	NAN			
10220		malaysia	rompin	2.9934	102.82	kilang kosfarm sdn bhd	kosfarm	far east holdings berhad	pahang		po1000003871
